Index,Structure-ID,X,Y,Z,[0.001 Gene Threshold] K=13,[0.01 Gene Threshold] K=13,[85% Active Gene Threshold] K=13,[70% Edge Voxels] K=13,[Actb-74881516] K=13,[Chat-252] K=13
298,661,54,33,23,12,8,1,,1,8
299,661,55,33,23,12,8,9,,12,2
300,661,56,33,23,12,8,9,,5,11
301,136,57,33,23,5,4,9,,0,6
302,136,58,33,23,5,4,5,,0,12
303,978,59,33,23,5,12,5,,10,5
304,978,60,33,23,10,12,8,,9,0
305,978,61,33,23,8,12,8,,0,12
306,1107,62,33,23,8,0,10,,4,12
307,1107,63,33,23,8,0,12,2,7,1
308,1107,64,33,23,0,0,12,4,12,0
309,661,53,34,23,12,8,11,1,12,9
310,661,54,34,23,11,8,11,0,1,10
311,661,55,34,23,11,3,11,0,1,6
312,661,56,34,23,11,8,9,,5,2
313,978,57,34,23,12,8,1,,9,3
314,1048,58,34,23,7,4,1,,6,8
315,978,59,34,23,7,12,1,,10,8
316,978,60,34,23,10,12,8,,6,0
317,978,61,34,23,8,12,12,,10,5
318,1107,63,34,23,8,0,12,2,9,7
319,1107,64,34,23,0,0,12,4,8,0
320,661,53,35,23,1,1,7,1,12,9
321,661,54,35,23,11,3,11,0,6,4
322,661,55,35,23,11,3,11,0,0,8
323,978,56,35,23,11,3,3,,5,8
324,978,57,35,23,7,3,3,8,12,10
325,978,58,35,23,7,3,3,,9,1
326,978,59,35,23,7,12,3,,10,10
327,978,60,35,23,4,12,3,5,0,0
328,661,54,36,23,1,1,7,6,0,9
329,661,55,36,23,1,10,7,,4,7
330,978,56,36,23,1,10,7,6,9,4
331,978,57,36,23,4,10,7,6,9,4
332,978,58,36,23,4,3,3,8,10,4
333,978,59,36,23,4,12,3,8,4,4
334,978,58,37,23,1,5,7,6,10,9
335,978,59,37,23,1,5,7,6,1,9
336,852,54,25,24,3,7,2,5,7,7
337,852,54,26,24,9,5,2,1,6,7
338,852,55,27,24,9,1,6,1,1,7
339,136,57,27,24,3,7,2,,4,7
340,852,60,27,24,10,11,8,,4,0
341,852,61,27,24,10,11,8,,2,1
342,852,62,27,24,8,11,10,,11,10
343,1098,63,27,24,8,11,4,,11,7
344,1098,64,27,24,0,11,0,,2,0
345,136,54,28,24,6,2,6,,3,7
346,852,55,28,24,6,2,6,,5,7
347,852,56,28,24,9,1,6,,1,7
348,136,57,28,24,9,1,2,,0,7
349,136,58,28,24,5,4,5,,10,7
350,136,59,28,24,10,12,5,,10,7
351,852,60,28,24,10,11,8,,10,0
352,136,61,28,24,10,11,8,,7,1
353,136,62,28,24,8,11,10,,2,10
354,136,63,28,24,0,11,4,,7,7
355,136,64,28,24,0,0,0,,10,0
356,1098,65,28,24,0,0,0,,9,0
357,136,54,29,24,6,2,6,,3,7
358,136,55,29,24,6,2,6,,3,4
359,136,56,29,24,6,2,6,,5,4
360,136,57,29,24,2,8,6,,1,7
361,136,58,29,24,5,4,5,,6,7
362,136,59,29,24,10,12,5,,0,4
363,136,60,29,24,10,12,8,,0,0
364,136,61,29,24,10,12,8,,10,1
365,136,62,29,24,8,0,10,,10,5
366,136,63,29,24,0,0,4,,10,7
367,136,64,29,24,0,0,0,,6,0
368,136,54,30,24,6,2,6,3,12,1
369,136,55,30,24,6,2,6,3,5,7
370,136,56,30,24,6,2,6,,3,7
371,136,57,30,24,2,8,6,,12,4
372,136,58,30,24,5,4,5,,6,1
373,136,59,30,24,5,12,5,,10,4
374,1048,60,30,24,10,12,8,,10,0
375,136,61,30,24,8,12,8,,0,1
376,1107,62,30,24,8,0,10,,0,5
377,1107,63,30,24,0,0,4,,0,7
378,1107,64,30,24,0,0,0,,0,0
379,136,55,31,24,2,2,6,3,12,10
380,136,56,31,24,2,2,6,3,3,5
381,136,57,31,24,2,8,6,,1,10
382,1048,58,31,24,5,4,5,,0,1
383,1048,59,31,24,5,12,5,,10,7
384,1048,60,31,24,5,12,8,,6,0
385,1048,61,31,24,5,12,8,,6,10
386,1107,62,31,24,8,0,10,,6,8
387,1107,63,31,24,0,0,4,4,6,7
388,1107,64,31,24,0,0,0,4,6,0
389,136,54,32,24,12,8,6,,9,5
390,136,55,32,24,2,8,6,,12,12
391,136,56,32,24,2,8,9,,3,6
392,136,57,32,24,2,8,2,,6,12
393,1048,58,32,24,5,4,5,,0,10
394,1048,59,32,24,5,4,5,,0,1
395,1048,60,32,24,5,4,8,4,12,0
396,1048,61,32,24,5,12,8,,9,8
397,1107,62,32,24,8,0,10,,0,12
398,1107,63,32,24,0,0,4,4,0,1
399,1107,64,32,24,0,0,0,4,6,0
400,661,54,33,24,12,8,1,,9,5
401,136,55,33,24,12,8,9,,12,2
402,1048,56,33,24,12,8,9,,12,11
403,1048,57,33,24,12,8,1,,6,6
404,1048,58,33,24,5,4,1,,6,5
405,1048,59,33,24,5,4,1,,9,10
406,1048,61,33,24,8,4,8,,6,8
407,1107,62,33,24,8,0,10,,10,12
408,1107,63,33,24,0,0,12,2,4,1
409,1107,64,33,24,0,0,12,4,5,0
410,661,54,34,24,12,8,11,,1,10
411,661,55,34,24,12,8,1,,1,6
412,978,56,34,24,12,8,9,,12,11
413,1048,57,34,24,7,8,1,,1,3
414,1048,58,34,24,7,3,1,,9,5
415,1048,59,34,24,7,3,1,,6,10
416,1107,62,34,24,8,12,12,,4,12
417,1107,63,34,24,0,0,12,4,1,7
418,661,54,35,24,11,8,11,,6,7
419,661,55,35,24,11,3,11,,6,12
420,978,56,35,24,7,3,3,,12,3
421,978,57,35,24,7,3,3,,12,5
422,978,58,35,24,7,3,3,,6,10
423,307,59,35,24,7,3,3,,4,1
424,1107,63,35,24,4,0,12,10,8,4
425,307,53,36,24,1,1,7,,6,9
426,661,54,36,24,1,1,7,,10,9
427,978,56,36,24,4,10,7,6,9,1
428,978,57,36,24,4,3,3,8,9,4
429,978,58,36,24,4,12,3,8,7,7
430,307,59,36,24,4,12,3,,2,4
431,978,58,37,24,1,5,7,6,11,9
432,136,54,27,25,6,1,6,,9,9
433,136,57,27,25,3,7,2,,7,4
434,136,58,27,25,3,7,5,,7,7
435,136,59,27,25,3,7,5,,7,1
436,136,60,27,25,10,7,8,,7,0
437,136,61,27,25,10,11,8,,2,1
438,136,62,27,25,8,11,10,,2,1
439,136,63,27,25,8,11,4,,11,7
440,136,64,27,25,8,11,0,,2,0
441,136,54,28,25,6,2,6,,12,4
442,136,57,28,25,9,1,2,,0,4
443,1048,58,28,25,9,5,2,,10,7
444,136,59,28,25,5,7,5,,6,7
445,136,60,28,25,10,12,8,,0,0
446,136,61,28,25,10,11,8,,10,1
447,136,62,28,25,8,11,10,,10,10
448,136,63,28,25,8,11,4,,10,7
449,136,64,28,25,0,11,0,,10,0
450,136,54,29,25,6,2,6,,12,7
451,136,55,29,25,6,2,6,,12,9
452,1048,56,29,25,6,2,6,,5,9
453,136,57,29,25,2,2,6,,1,4
454,1048,58,29,25,2,1,2,,1,4
455,136,59,29,25,5,4,2,,9,4
456,1048,60,29,25,5,4,2,,9,0
457,1048,61,29,25,5,4,8,,9,7
458,1107,62,29,25,5,0,10,,9,10
459,1107,63,29,25,0,0,4,,6,7
460,1107,64,29,25,0,0,0,,6,0
461,136,54,30,25,6,2,6,,12,7
462,136,55,30,25,6,2,6,,12,4
463,136,56,30,25,6,2,6,,3,4
464,1048,57,30,25,2,2,6,,5,4
465,1048,58,30,25,2,8,2,,12,4
466,1048,59,30,25,5,4,2,7,9,9
467,1048,60,30,25,5,4,2,7,9,0
468,1048,61,30,25,5,4,2,,9,1
469,1107,62,30,25,5,4,10,,9,5
470,1107,63,30,25,5,4,4,4,6,7
471,1107,64,30,25,0,0,0,4,6,0
472,1048,54,31,25,2,2,6,,1,1
473,136,55,31,25,2,2,6,,1,7
474,1048,56,31,25,6,2,6,,3,1
475,1048,57,31,25,2,2,6,,5,7
476,1048,58,31,25,2,8,2,7,12,4
477,1048,59,31,25,5,4,2,7,1,4
478,1048,60,31,25,5,4,2,7,1,0
479,1048,61,31,25,5,4,2,,1,10
480,1107,62,31,25,5,4,10,,9,8
481,1107,63,31,25,5,4,4,4,9,7
482,1107,64,31,25,5,4,0,4,9,0
483,1048,54,32,25,12,8,6,,9,10
484,136,55,32,25,12,8,6,,1,10
485,1048,56,32,25,2,8,9,,5,3
486,1048,57,32,25,2,8,6,3,12,10
487,1048,58,32,25,2,8,1,7,12,1
488,1048,59,32,25,5,8,1,7,12,7
489,1048,60,32,25,5,8,2,7,5,0
490,1048,61,32,25,5,4,2,,12,5
491,1107,62,32,25,5,4,10,,1,12
492,1107,63,32,25,5,4,4,4,9,7
493,1107,64,32,25,5,4,0,4,1,0
494,1048,54,33,25,12,8,1,,9,5
495,1048,55,33,25,12,8,1,,9,12
496,1048,56,33,25,12,8,9,,5,6
497,1048,57,33,25,12,8,1,7,12,12
498,1048,58,33,25,12,8,1,7,12,10
499,1048,59,33,25,7,8,1,7,12,1
500,1048,61,33,25,5,4,1,,12,5
501,1107,62,33,25,5,4,12,,9,12
502,1107,63,33,25,5,4,12,4,9,7
503,1107,64,33,25,9,8,12,1,3,0
504,307,53,34,25,12,8,11,,9,9
505,1048,54,34,25,12,8,11,,6,10
506,978,55,34,25,7,3,1,,6,12
507,1048,56,34,25,7,8,9,,12,2
508,978,57,34,25,7,8,1,,12,12
509,1048,58,34,25,7,3,1,,9,5
510,307,59,34,25,7,3,1,,6,1
511,1048,61,34,25,7,4,12,,9,10
512,1107,62,34,25,5,4,12,4,9,12
513,307,53,35,25,1,1,11,,10,9
514,978,55,35,25,7,3,11,,10,5
515,978,57,35,25,7,3,3,,12,10
516,307,58,35,25,7,3,3,,6,1
517,307,59,35,25,7,3,3,,7,7
518,307,60,35,25,7,3,3,5,10,0
519,978,55,36,25,1,10,7,,7,7
520,307,58,36,25,4,12,3,,7,7
521,136,60,26,26,3,11,8,,2,0
522,970,57,27,26,3,7,2,,2,4
523,970,58,27,26,3,7,5,,11,4
524,136,59,27,26,3,7,5,,2,7
525,136,60,27,26,3,7,8,,11,0
526,136,61,27,26,3,11,8,,2,1
527,1048,54,28,26,6,2,6,,9,4
528,1048,55,28,26,6,1,6,,6,10
529,1048,56,28,26,9,1,6,,4,4
530,970,57,28,26,9,5,2,,7,4
531,1048,58,28,26,9,5,2,,4,7
532,1048,59,28,26,9,7,2,,0,4
533,1048,60,28,26,3,7,2,,10,0
534,1048,61,28,26,3,7,8,,10,7
535,773,62,28,26,3,6,10,,0,10
536,1107,63,28,26,3,6,4,,4,7
537,1107,64,28,26,3,6,0,,10,0
538,1048,54,29,26,6,2,6,,12,9
539,1048,55,29,26,6,2,6,3,1,9
540,1048,56,29,26,6,2,6,,9,9
541,1048,57,29,26,2,1,6,3,6,4
542,1048,58,29,26,2,1,2,1,9,7
543,1048,59,29,26,9,1,2,1,1,4
544,1048,60,29,26,9,4,2,1,1,0
545,1048,61,29,26,9,4,2,,9,4
546,1107,62,29,26,5,4,10,,6,10
547,1107,63,29,26,3,6,4,,6,4
548,1107,64,29,26,3,6,0,,6,0
549,1048,54,30,26,6,2,6,3,5,4
550,1048,55,30,26,6,2,6,3,12,9
551,1048,56,30,26,6,2,6,3,5,9
552,1048,57,30,26,2,2,6,3,12,4
553,1048,58,30,26,2,8,6,3,1,7
554,1048,59,30,26,2,8,2,7,12,9
555,1048,60,30,26,2,8,2,7,5,0
556,1048,61,30,26,2,1,2,,12,7
557,1107,62,30,26,5,4,2,,6,10
558,1107,63,30,26,5,4,4,4,6,4
559,1107,64,30,26,5,4,0,4,9,0
560,1048,54,31,26,2,2,6,3,12,7
561,1048,55,31,26,2,8,6,3,1,9
562,1048,56,31,26,2,2,6,3,12,4
