index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Chat-252
250,65177,136,53,29,23,3,3,7,7,0.006167146
251,65178,852,54,29,23,1,1,1,1,0.009827836
252,65179,852,55,29,23,3,1,7,7,0.008604416
253,65180,852,56,29,23,3,1,1,1,0.00944153
254,65181,852,57,29,23,3,1,7,1,0.009158093
255,65182,852,58,29,23,1,1,1,1,0.009882634
256,65183,852,59,29,23,3,3,7,4,0.005139116
257,65184,136,60,29,23,0,0,0,0,-1.0
258,65185,136,61,29,23,1,1,1,10,0.014617408
259,65186,136,62,29,23,1,4,5,5,0.018795354
260,65187,136,63,29,23,3,1,7,7,0.007593876
261,65188,136,64,29,23,0,0,0,0,-1.0
262,65189,1098,65,29,23,0,0,0,0,-1.0
263,65244,136,53,30,23,3,3,4,4,0.00303082
264,65245,136,54,30,23,1,1,1,10,0.015424748
265,65246,852,55,30,23,3,1,7,7,0.008424625
266,65247,136,56,30,23,3,1,7,7,0.007568756
267,65248,136,57,30,23,3,1,7,7,0.00715663
268,65249,136,58,30,23,1,1,1,10,0.01268422
269,65250,136,59,30,23,3,1,7,7,0.007693873
270,65251,136,60,30,23,0,0,0,0,-1.0
271,65252,136,61,30,23,1,1,1,10,0.015274818
272,65253,136,62,30,23,1,4,5,8,0.02189209
273,65254,136,63,30,23,1,1,1,1,0.010118975
274,65255,136,64,30,23,0,0,0,0,-1.0
275,65311,136,53,31,23,3,3,4,4,0.004281087
276,65312,136,54,31,23,1,4,5,5,0.019528523
277,65313,136,55,31,23,1,4,5,5,0.017141394
278,65314,136,56,31,23,1,1,1,10,0.014917108
279,65315,136,57,31,23,1,4,3,12,0.028966917
280,65316,136,58,31,23,1,4,5,5,0.020665769
281,65317,136,59,31,23,1,1,1,1,0.012065101
282,65319,136,61,31,23,1,4,5,5,0.017034877
283,65320,136,62,31,23,1,4,5,8,0.021999985
284,65321,136,63,31,23,1,1,1,1,0.009923829
285,65322,1107,64,31,23,0,0,0,0,-1.0
286,65379,136,54,32,23,1,4,5,8,0.022170777
287,65380,136,55,32,23,2,2,3,3,0.037913285
288,65381,136,56,32,23,2,5,6,6,0.052408107
289,65382,136,57,32,23,2,5,6,6,0.052586056
290,65383,136,58,32,23,1,4,3,12,0.028815934
291,65384,136,59,32,23,1,1,1,10,0.014420652
292,65385,1048,60,32,23,0,0,0,0,-1.0
293,65386,1048,61,32,23,1,4,5,5,0.020172816
294,65387,1107,62,32,23,1,4,3,12,0.025637945
295,65388,1107,63,32,23,1,1,1,1,0.009857742
296,65389,1107,64,32,23,0,0,0,0,-1.0
297,65445,661,53,33,23,3,3,4,4,0.004722513
298,65446,661,54,33,23,1,4,5,8,0.021446003
299,65447,661,55,33,23,2,5,2,2,0.05860624
300,65448,661,56,33,23,2,5,2,11,0.06888432
301,65449,136,57,33,23,2,5,6,6,0.05083206
302,65450,136,58,33,23,2,2,3,12,0.03088472
303,65451,978,59,33,23,1,4,5,5,0.019084759
304,65452,978,60,33,23,0,0,0,0,-1.0
305,65453,978,61,33,23,1,4,3,12,0.025518415
306,65454,1107,62,33,23,2,2,3,12,0.029742546
307,65455,1107,63,33,23,1,1,1,1,0.009999937
308,65456,1107,64,33,23,0,0,0,0,-1.0
309,65512,661,53,34,23,3,3,4,9,0.00237101
310,65513,661,54,34,23,1,1,1,10,0.012974122
311,65514,661,55,34,23,2,5,6,6,0.05033272
312,65515,661,56,34,23,2,5,2,2,0.056996256
313,65516,978,57,34,23,2,2,3,3,0.035561945
314,65517,1048,58,34,23,1,4,5,8,0.021450533
315,65518,978,59,34,23,1,4,5,8,0.024073198
316,65519,978,60,34,23,0,0,0,0,-1.0
317,65520,978,61,34,23,1,4,5,5,0.019917114
318,65522,1107,63,34,23,3,3,7,7,0.006753675
319,65523,1107,64,34,23,0,0,0,0,-1.0
320,65579,661,53,35,23,3,3,4,9,0.00074154
321,65580,661,54,35,23,3,3,4,4,0.004530451
322,65581,661,55,35,23,1,4,5,8,0.022873648
323,65582,978,56,35,23,1,4,5,8,0.023943702
324,65583,978,57,35,23,1,4,5,10,0.016050242
325,65584,978,58,35,23,1,1,1,1,0.0115812
326,65585,978,59,35,23,1,1,1,10,0.0143608
327,65586,978,60,35,23,0,0,0,0,-1.0
328,65647,661,54,36,23,3,3,4,9,0.001218109
329,65648,661,55,36,23,3,1,7,7,0.007072049
330,65649,978,56,36,23,3,3,4,4,0.004783039
331,65650,978,57,36,23,3,3,4,4,0.003948838
332,65651,978,58,36,23,3,3,4,4,0.004653042
333,65652,978,59,36,23,3,3,4,4,0.004757742
334,65718,978,58,37,23,3,3,4,9,0.001365413
335,65719,978,59,37,23,3,3,4,9,0.00123339
336,67657,852,54,25,24,3,3,7,7,0.005811189
337,67724,852,54,26,24,3,3,7,7,0.006337668
338,67792,852,55,27,24,3,3,7,7,0.006495724
339,67794,136,57,27,24,3,1,7,7,0.007382946
340,67797,852,60,27,24,0,0,0,0,-1.0
341,67798,852,61,27,24,1,1,1,1,0.010862184
342,67799,852,62,27,24,1,1,1,10,0.015224819
343,67800,1098,63,27,24,3,1,7,7,0.007103875
344,67801,1098,64,27,24,0,0,0,0,-1.0
345,67858,136,54,28,24,3,3,7,7,0.006109862
346,67859,852,55,28,24,3,3,7,7,0.0068542
347,67860,852,56,28,24,3,3,7,7,0.006021456
348,67861,136,57,28,24,3,3,7,7,0.006460626
349,67862,136,58,28,24,3,3,7,7,0.00686322
350,67863,136,59,28,24,3,3,7,7,0.006070478
351,67864,852,60,28,24,0,0,0,0,-1.0
352,67865,136,61,28,24,1,1,1,1,0.011283982
353,67866,136,62,28,24,1,4,5,10,0.01633708
354,67867,136,63,28,24,3,1,7,7,0.007083016
355,67868,136,64,28,24,0,0,0,0,-1.0
356,67869,1098,65,28,24,0,0,0,0,-1.0
357,67925,136,54,29,24,3,1,7,7,0.007994456
358,67926,136,55,29,24,3,3,4,4,0.004786563
359,67927,136,56,29,24,3,3,4,4,0.004474208
360,67928,136,57,29,24,3,3,7,7,0.005922031
361,67929,136,58,29,24,3,1,7,7,0.007926417
362,67930,136,59,29,24,3,3,4,4,0.004592416
363,67931,136,60,29,24,0,0,0,0,-1.0
364,67932,136,61,29,24,1,1,1,1,0.012014128
365,67933,136,62,29,24,1,4,5,5,0.017216614
366,67934,136,63,29,24,3,1,7,7,0.007567011
367,67935,136,64,29,24,0,0,0,0,-1.0
368,67992,136,54,30,24,1,1,1,1,0.012554827
369,67993,136,55,30,24,3,3,7,7,0.006723199
370,67994,136,56,30,24,3,3,7,7,0.00684019
371,67995,136,57,30,24,3,3,7,4,0.004873147
372,67996,136,58,30,24,3,1,7,1,0.009300823
373,67997,136,59,30,24,3,3,7,4,0.005140104
374,67998,1048,60,30,24,0,0,0,0,-1.0
375,67999,136,61,30,24,1,1,1,1,0.01148554
376,68000,1107,62,30,24,1,4,5,5,0.017590245
377,68001,1107,63,30,24,3,1,7,7,0.007938872
378,68002,1107,64,30,24,0,0,0,0,-1.0
379,68060,136,55,31,24,1,1,1,10,0.013668621
380,68061,136,56,31,24,1,4,5,5,0.01677954
381,68062,136,57,31,24,1,1,1,10,0.013770229
382,68063,1048,58,31,24,1,1,1,1,0.011098561
383,68064,1048,59,31,24,3,1,7,7,0.007758667
384,68065,1048,60,31,24,0,0,0,0,-1.0
385,68066,1048,61,31,24,1,4,5,10,0.016376378
386,68067,1107,62,31,24,1,4,5,8,0.022036674
387,68068,1107,63,31,24,3,1,7,7,0.008604378
388,68069,1107,64,31,24,0,0,0,0,-1.0
389,68126,136,54,32,24,1,4,5,5,0.0196802
390,68127,136,55,32,24,1,4,3,12,0.028846951
391,68128,136,56,32,24,2,5,6,6,0.04939557
392,68129,136,57,32,24,2,2,3,12,0.03040548
393,68130,1048,58,32,24,1,1,1,10,0.01508547
394,68131,1048,59,32,24,3,1,1,1,0.009678956
395,68132,1048,60,32,24,0,0,0,0,-1.0
396,68133,1048,61,32,24,1,4,5,8,0.022898184
397,68134,1107,62,32,24,1,4,3,12,0.026970247
398,68135,1107,63,32,24,3,1,7,1,0.009130236
399,68136,1107,64,32,24,0,0,0,0,-1.0
400,68193,661,54,33,24,1,4,5,5,0.020283366
