index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Actb-74881516
189,62576,136,65,31,22,0,4,4,10,0.16157031
190,62631,136,53,32,22,1,5,1,9,0.13891171
191,62632,136,54,32,22,1,5,6,6,0.14451699
192,62633,136,55,32,22,1,5,6,9,0.14289318
193,62634,136,56,32,22,1,5,1,9,0.13886563
194,62635,136,57,32,22,0,4,4,4,0.16735227
195,62636,136,58,32,22,0,0,4,10,0.15846367
196,62637,136,59,32,22,0,4,4,4,0.1626298
197,62638,136,60,32,22,1,0,0,6,0.14948875
198,62640,1048,62,32,22,2,4,7,4,0.16848859
199,62641,136,63,32,22,0,4,4,4,0.16650017
200,62642,136,64,32,22,0,0,0,0,0.15328534
201,62698,661,53,33,22,1,5,6,6,0.1461251
202,62699,661,54,33,22,1,5,6,9,0.14183143
203,62700,661,55,33,22,1,5,1,1,0.13729016
204,62701,661,56,33,22,3,1,5,12,0.12967661
205,62702,136,57,33,22,0,4,4,4,0.1627132
206,62703,939,58,33,22,0,0,0,0,0.15144551
207,62704,939,59,33,22,2,4,7,7,0.1700974
208,62705,939,60,33,22,0,0,0,0,0.15428811
209,62709,1107,64,33,22,3,1,1,12,0.13066398
210,62766,661,54,34,22,1,5,6,6,0.14802003
211,62767,661,55,34,22,1,0,6,6,0.14895287
212,62768,661,56,34,22,3,1,5,12,0.1280238
213,62769,978,57,34,22,0,0,0,0,0.15155528
214,62770,143,58,34,22,1,5,6,6,0.14501496
215,62772,143,60,34,22,0,0,0,0,0.15565324
216,62775,1107,63,34,22,1,5,6,9,0.14048687
217,62836,978,57,35,22,1,5,6,9,0.14237988
218,62837,143,58,35,22,1,5,1,9,0.13917649
219,62838,978,59,35,22,0,0,0,10,0.15683173
220,62839,978,60,35,22,0,0,0,0,0.15064794
221,62840,978,61,35,22,0,0,0,0,0.15384106
222,62903,978,57,36,22,1,0,6,6,0.14884827
223,62904,978,58,36,22,0,0,0,0,0.15039492
224,62905,978,59,36,22,1,0,0,6,0.15001588
225,62906,978,60,36,22,1,0,6,6,0.1490102
226,62907,978,61,36,22,0,0,4,10,0.15826061
227,62971,978,58,37,22,3,1,5,12,0.12685388
228,64910,852,54,25,23,0,0,0,0,0.15377016
229,64977,852,54,26,23,3,1,1,12,0.13054934
230,64986,1098,63,26,23,2,2,2,2,0.18382381
231,65044,852,54,27,23,3,3,5,3,0.1160173
232,65045,852,55,27,23,1,5,1,9,0.13883887
233,65046,852,56,27,23,0,0,0,0,0.15399568
234,65051,852,61,27,23,2,2,7,7,0.17514281
235,65052,852,62,27,23,2,2,2,11,0.1871913
236,65053,1098,63,27,23,2,2,2,11,0.18803255
